N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev
2mer-0+102,-0.00929037,2,-0.00929037,-60.6417388,7.947901e-05,16.56,12.308,12.308,0.0,-0.00929037,-0.00929037,-0.027871109999999998,-49.18938343646563,-60.64173881000001
2mer-0+74,-0.0108514,4,-0.02170279,-60.66344159,7.688576e-05,16.305,12.445,12.445,0.0,-0.0217028,-0.0217028,-0.032554200000000005,-49.21108623646563,-60.66344161000001
2mer-0+119,-0.02170319,4,-0.04340638,-60.70684797,7.620951e-05,15.074,12.481,12.481,0.0,-0.04340638,-0.04340638,-0.06510957,-49.25449261646563,-60.70684799000001
2mer-0+147,0.0003974,2,0.0003974,-60.70645058,6.338558e-05,18.134,13.272,13.272,0.0,0.0003974,0.0003974,0.0011922,-49.254095216465636,-60.70645059000001
2mer-0+127,-0.00914002,4,-0.01828005,-60.72473063,6.052864e-05,15.882,13.478,13.478,0.0,-0.01828004,-0.01828004,-0.027420060000000003,-49.27237525646564,-60.72473063000001
2mer-0+89,-0.00656161,4,-0.01312322,-60.73785385,6.007389e-05,17.436,13.512,13.512,0.0,-0.01312322,-0.01312322,-0.01968483,-49.285498476465634,-60.73785385000001
2mer-0+116,-0.00530392,4,-0.01060783,-60.74846168,5.829474e-05,17.775,13.648,13.648,0.0,-0.01060784,-0.01060784,-0.01591176,-49.29610631646563,-60.748461690000006
2mer-0+113,-0.01098048,2,-0.01098048,-60.75944216,5.7461e-05,16.56,13.713,13.713,0.0,-0.01098048,-0.01098048,-0.03294144,-49.30708679646563,-60.75944217000001
2mer-0+137,-0.00432709,2,-0.00432709,-60.76376926,5.704305e-05,18.134,13.747,13.747,0.0,-0.00432709,-0.00432709,-0.01298127,-49.31141388646563,-60.763769260000004
2mer-0+123,-0.00684196,2,-0.00684196,-60.77061122,5.625858e-05,17.527,13.81,13.81,0.0,-0.00684196,-0.00684196,-0.02052588,-49.31825584646563,-60.770611220000006
2mer-0+106,-0.00390304,4,-0.00780608,-60.7784173,5.520033e-05,17.959,13.898,13.898,0.0,-0.00780608,-0.00780608,-0.01170912,-49.326061926465634,-60.77841730000001
2mer-0+173,-0.0009165,4,-0.00183299,-60.78025029,5.328932e-05,18.574,14.062,14.062,0.0,-0.001833,-0.001833,-0.0027495,-49.32789492646563,-60.780250300000006
2mer-0+145,-0.00059858,2,-0.00059858,-60.78084887,5.178484e-05,18.803,14.197,14.197,0.0,-0.00059858,-0.00059858,-0.00179574,-49.328493506465634,-60.78084888000001
2mer-0+93,-0.00164858,2,-0.00164858,-60.78249744,5.16271e-05,18.84,14.212,14.212,0.0,-0.00164858,-0.00164858,-0.00494574,-49.330142086465635,-60.78249746000001
2mer-0+195,0.00084527,4,0.00169053,-60.78080691,5.071315e-05,17.421,14.296,14.296,0.0,0.00169054,0.00169054,0.00253581,-49.32845154646564,-60.78080692000001
2mer-0+183,-0.007994,4,-0.01598801,-60.79679492,4.986371e-05,17.665,14.377,14.377,0.0,-0.015988,-0.015988,-0.023981999999999996,-49.34443954646564,-60.79679492000001
2mer-0+170,0.00103228,2,0.00103228,-60.79576264,4.976511e-05,15.496,14.387,14.387,0.0,0.00103228,0.00103228,0.00309684,-49.34340726646564,-60.795762640000014
2mer-0+121,-0.00012385,4,-0.0002477,-60.79601034,4.854035e-05,18.937,14.507,14.507,0.0,-0.0002477,-0.0002477,-0.00037155,-49.34365496646564,-60.79601034000002
2mer-0+155,-0.00887996,2,-0.00887996,-60.8048903,4.797668e-05,17.527,14.563,14.563,0.0,-0.00887996,-0.00887996,-0.026639879999999998,-49.352534926465644,-60.80489030000002
2mer-0+185,-0.00435917,2,-0.00435917,-60.80924947,4.710875e-05,18.803,14.652,14.652,0.0,-0.00435917,-0.00435917,-0.01307751,-49.356894096465645,-60.80924947000002
2mer-0+109,-0.00186285,4,-0.00372569,-60.81297516,4.675616e-05,19.499,14.689,14.689,0.0,-0.0037257,-0.0037257,-0.00558855,-49.36061979646564,-60.812975170000016
2mer-0+136,-0.00207755,4,-0.00415509,-60.81713025,4.651702e-05,19.207,14.714,14.714,0.0,-0.0041551,-0.0041551,-0.00623265,-49.36477489646564,-60.817130270000014
2mer-0+215,-0.00286355,4,-0.0057271,-60.82285735,4.556939e-05,19.148,14.815,14.815,0.0,-0.0057271,-0.0057271,-0.00859065,-49.37050199646564,-60.822857370000015
2mer-0+143,-0.00811132,4,-0.01622264,-60.83907998,4.444464e-05,17.775,14.939,14.939,0.0,-0.01622264,-0.01622264,-0.02433396,-49.386724636465644,-60.83908001000002
2mer-0+196,-0.00047821,2,-0.00047821,-60.8395582,4.429399e-05,16.273,14.956,14.956,0.0,-0.00047821,-0.00047821,-0.00143463,-49.38720284646564,-60.839558220000015
2mer-0+166,-0.00709525,4,-0.01419049,-60.85374869,4.362766e-05,18.181,15.032,15.032,0.0,-0.0141905,-0.0141905,-0.02128575,-49.40139334646564,-60.85374872000001
2mer-0+161,-0.00746532,2,-0.00746532,-60.86121401,4.233111e-05,18.134,15.184,15.184,0.0,-0.00746532,-0.00746532,-0.02239596,-49.40885866646564,-60.861214040000014
2mer-0+135,0.00021872,2,0.00021872,-60.86099529,4.146952e-05,20.238,15.288,15.288,0.0,0.00021872,0.00021872,0.00065616,-49.40863994646564,-60.860995320000015
2mer-0+233,0.00010061,4,0.00020122,-60.86079407,4.138575e-05,18.786,15.299,15.299,0.0,0.00020122,0.00020122,0.00030183,-49.40843872646564,-60.860794100000014
2mer-0+125,-0.00227866,4,-0.00455731,-60.86535139,4.049275e-05,19.499,15.41,15.41,0.0,-0.00455732,-0.00455732,-0.00683598,-49.41299604646564,-60.86535142000002
2mer-0+273,0.0005386,2,0.0005386,-60.86481279,4.033339e-05,20.099,15.43,15.43,0.0,0.0005386,0.0005386,0.0016158,-49.412457446465645,-60.86481282000002
2mer-0+180,-0.00580693,2,-0.00580693,-60.87061972,3.950664e-05,18.803,15.537,15.537,0.0,-0.00580693,-0.00580693,-0.01742079,-49.41826437646564,-60.87061975000002
2mer-0+159,-0.0017489,4,-0.00349781,-60.87411753,3.93334e-05,19.97,15.56,15.56,0.0,-0.0034978,-0.0034978,-0.0052467,-49.42176217646564,-60.874117550000015
2mer-0+214,0.00129664,4,0.00259329,-60.87152424,3.924758e-05,19.066,15.571,15.571,0.0,0.00259328,0.00259328,0.00388992,-49.41916889646564,-60.871524270000016
2mer-0+182,-0.00736834,4,-0.01473667,-60.88626091,3.871885e-05,18.181,15.642,15.642,0.0,-0.01473668,-0.01473668,-0.02210502,-49.43390557646564,-60.886260950000015
2mer-0+141,0.00038668,2,0.00038668,-60.88587423,3.83914e-05,20.033,15.686,15.686,0.0,0.00038668,0.00038668,0.00116004,-49.43351889646564,-60.885874270000016
2mer-0+150,-0.00592497,4,-0.01184994,-60.89772417,3.8029e-05,18.937,15.736,15.736,0.0,-0.01184994,-0.01184994,-0.017774909999999998,-49.44536883646564,-60.897724210000014
2mer-0+144,-0.00347081,2,-0.00347081,-60.90119498,3.734765e-05,20.033,15.831,15.831,0.0,-0.00347081,-0.00347081,-0.01041243,-49.44883964646564,-60.90119502000002
2mer-0+148,-0.00445053,4,-0.00890106,-60.91009604,3.716021e-05,19.207,15.858,15.858,0.0,-0.00890106,-0.00890106,-0.01335159,-49.45774070646564,-60.91009608000002
2mer-0+211,-3.871e-05,4,-7.743e-05,-60.91017347,3.709499e-05,19.805,15.867,15.867,0.0,-7.742e-05,-7.742e-05,-0.00011613,-49.45781812646564,-60.91017350000001
2mer-0+207,-0.0019722,4,-0.00394441,-60.91411788,3.461759e-05,19.805,16.237,16.237,0.0,-0.0039444,-0.0039444,-0.005916599999999999,-49.46176252646564,-60.914117900000015
2mer-0+156,-0.00353792,2,-0.00353792,-60.9176558,3.232156e-05,20.238,16.613,16.613,0.0,-0.00353792,-0.00353792,-0.01061376,-49.46530044646564,-60.917655820000014
2mer-0+191,-0.00217018,4,-0.00434035,-60.92199615,3.228107e-05,20.729,16.62,16.62,0.0,-0.00434036,-0.00434036,-0.0065105399999999996,-49.46964080646564,-60.921996180000015
2mer-0+174,-0.00049969,4,-0.00099938,-60.92299554,3.21167e-05,19.97,16.648,16.648,0.0,-0.00099938,-0.00099938,-0.00149907,-49.470640186465644,-60.92299556000002
2mer-0+172,-0.00073448,2,-0.00073448,-60.92373002,3.199967e-05,21.353,16.668,16.668,0.0,-0.00073448,-0.00073448,-0.00220344,-49.47137466646564,-60.92373004000002
2mer-0+175,-0.00050959,2,-0.00050959,-60.92423962,3.122714e-05,21.353,16.804,16.804,0.0,-0.00050959,-0.00050959,-0.00152877,-49.47188425646564,-60.92423963000002
2mer-0+186,-0.00065022,2,-0.00065022,-60.92488984,3.042341e-05,21.353,16.951,16.951,0.0,-0.00065022,-0.00065022,-0.00195066,-49.47253447646564,-60.924889850000014
2mer-0+205,0.00079618,2,0.00079618,-60.92409366,3.033152e-05,18.134,16.968,16.968,0.0,0.00079618,0.00079618,0.0023885399999999998,-49.47173829646564,-60.92409367000001
2mer-0+235,-0.00062253,4,-0.00124505,-60.92533871,3.018566e-05,20.246,16.996,16.996,0.0,-0.00124506,-0.00124506,-0.0018675900000000001,-49.47298335646564,-60.925338730000014
2mer-0+267,-0.0017805,4,-0.003561,-60.92889971,3.018566e-05,20.246,16.996,16.996,0.0,-0.003561,-0.003561,-0.0053415,-49.47654435646564,-60.92889973000001
2mer-0+238,0.00190095,4,0.0038019,-60.92509781,2.938898e-05,18.574,17.148,17.148,0.0,0.0038019,0.0038019,0.00570285,-49.47274245646564,-60.92509783000001
2mer-0+232,-0.0014325,4,-0.002865,-60.92796281,2.923713e-05,21.016,17.177,17.177,0.0,-0.002865,-0.002865,-0.0042975,-49.47560745646564,-60.92796283000001
2mer-0+220,-0.00361029,4,-0.00722059,-60.93518339,2.895761e-05,20.729,17.232,17.232,0.0,-0.00722058,-0.00722058,-0.01083087,-49.48282803646564,-60.935183410000015
2mer-0+268,0.00014636,2,0.00014636,-60.93503704,2.864482e-05,22.197,17.295,17.295,0.0,0.00014636,0.00014636,0.00043908,-49.48268167646564,-60.93503705000001
2mer-0+250,-0.00058108,4,-0.00116216,-60.9361992,2.829344e-05,19.148,17.366,17.366,0.0,-0.00116216,-0.00116216,-0.00174324,-49.48384383646564,-60.93619921000001
2mer-0+202,-0.00103575,4,-0.00207149,-60.93827069,2.821611e-05,22.123,17.382,17.382,0.0,-0.0020715,-0.0020715,-0.0031072499999999998,-49.48591533646564,-60.93827071000001
2mer-0+231,-0.00023282,2,-0.00023282,-60.93850351,2.820131e-05,18.803,17.385,17.385,0.0,-0.00023282,-0.00023282,-0.00069846,-49.48614815646564,-60.93850353000001
2mer-0+289,-0.00340461,4,-0.00680923,-60.94531274,2.794722e-05,20.316,17.438,17.438,0.0,-0.00680922,-0.00680922,-0.01021383,-49.49295737646564,-60.945312750000014
2mer-0+324,-0.00418889,2,-0.00418889,-60.94950163,2.742739e-05,20.43,17.547,17.547,0.0,-0.00418889,-0.00418889,-0.012566669999999999,-49.49714626646564,-60.949501640000015
