N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+147,0.06537749,2,0.06537749,-39.31081819,0.0001232416,11.441,10.634,10.634,0.0,0.06537749,0.06537749,0.19613247,-39.98051028326814,-39.31081814499999,0.0
2mer-0+152,0.12508227,2,0.12508227,-39.18573592,0.0001222647,10.739,10.662,10.662,0.0,0.12508227,0.12508227,0.37524681,-39.85542801326814,-39.18573587499999,0.0
2mer-0+150,0.05283372,2,0.05283372,-39.13290221,0.0001209828,10.826,10.699,10.699,0.0,0.05283372,0.05283372,0.15850116,-39.802594293268136,-39.13290215499999,0.0
2mer-0+186,-0.04393729,4,-0.08787459,-39.22077679,0.0001140839,11.333,10.911,10.911,0.0,-0.08787458,-0.08787458,-0.13181187,-39.890468873268134,-39.22077673499999,0.0
2mer-0+148,-0.0667314,4,-0.13346279,-39.35423959,0.0001140737,11.961,10.911,10.911,0.0,-0.1334628,-0.1334628,-0.2001942,-40.02393167326813,-39.354239534999984,0.0
2mer-0+153,-0.07003305,2,-0.07003305,-39.42427263,0.0001134126,11.393,10.932,10.932,0.0,-0.07003305,-0.07003305,-0.21009915,-40.09396472326813,-39.42427258499998,0.0
2mer-0+175,0.19412343,2,0.19412343,-39.23014921,0.0001096182,11.144,11.057,11.057,0.0,0.19412343,0.19412343,0.5823702900000001,-39.89984129326813,-39.230149154999985,0.0
2mer-0+192,0.10177254,2,0.10177254,-39.12837667,0.000107916,12.216,11.115,11.115,0.0,0.10177254,0.10177254,0.30531761999999996,-39.79806875326813,-39.128376614999986,0.0
2mer-0+165,-0.0161791,2,-0.0161791,-39.14455577,0.0001078359,12.231,11.118,11.118,0.0,-0.0161791,-0.0161791,-0.04853729999999999,-39.814247853268135,-39.14455571499999,0.0
2mer-0+166,-0.03118309,4,-0.06236619,-39.20692196,0.0001070144,11.979,11.146,11.146,0.0,-0.06236618,-0.06236618,-0.09354927,-39.87661403326813,-39.20692189499999,0.0
2mer-0+196,-0.10288573,2,-0.10288573,-39.30980769,0.0001054134,11.365,11.202,11.202,0.0,-0.10288573,-0.10288573,-0.30865718999999997,-39.97949976326813,-39.30980762499998,0.0
2mer-0+207,0.03589499,2,0.03589499,-39.2739127,0.0001035413,12.255,11.269,11.269,0.0,0.03589499,0.03589499,0.10768497,-39.94360477326813,-39.27391263499998,0.0
2mer-0+168,0.07094263,4,0.14188527,-39.13202743,0.0001019717,11.979,11.327,11.327,0.0,0.14188526,0.14188526,0.21282789000000002,-39.801719513268125,-39.13202737499998,0.0
