N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+260,0.00618103,2,0.00618103,-37.25851446,9.40853e-05,12.245,11.635,11.635,0
2mer-0+229,-0.2581711,1,-0.12908555,-37.38760001,9.208456e-05,12.256,11.719,11.719,0
2mer-0+253,-0.1307659,2,-0.1307659,-37.51836591,9.00241e-05,12.17,11.807,11.807,0
2mer-0+220,0.02695932,4,0.05391863,-37.46444728,8.998429e-05,12.229,11.809,11.809,0
2mer-0+232,0.03796026,2,0.03796026,-37.42648702,8.956271e-05,12.77,11.827,11.827,0
2mer-0+239,-0.07510435,2,-0.07510435,-37.50159137,8.883313e-05,12.761,11.86,11.86,0
2mer-0+201,0.13352395,2,0.13352395,-37.36806742,8.767248e-05,12.304,11.912,11.912,0
2mer-0+217,-0.07314561,2,-0.07314561,-37.44121303,8.721995e-05,12.569,11.932,11.932,0
2mer-0+249,-0.16770338,2,-0.16770338,-37.60891641,8.687665e-05,12.814,11.948,11.948,0
2mer-0+227,-0.02761961,2,-0.02761961,-37.63653602,8.388564e-05,12.29,12.088,12.088,0
2mer-0+238,-0.05028531,2,-0.05028531,-37.68682133,8.367257e-05,13.019,12.099,12.099,0
2mer-0+231,0.10172506,2,0.10172506,-37.58509628,8.318253e-05,13.545,12.122,12.122,0
2mer-0+283,-0.04249418,1,-0.02124709,-37.60634336,8.309678e-05,12.733,12.127,12.127,0
2mer-0+228,-0.07799702,2,-0.07799702,-37.68434038,8.304549e-05,12.818,12.129,12.129,0
2mer-0+271,0.08783857,2,0.08783857,-37.59650181,8.283846e-05,13.06,12.139,12.139,0
2mer-0+261,-0.04696941,1,-0.02348471,-37.61998652,8.261127e-05,12.846,12.15,12.15,0
2mer-0+294,-0.16087999,2,-0.16087999,-37.78086651,8.13449e-05,12.786,12.213,12.213,0
2mer-0+269,-0.10853741,2,-0.10853741,-37.88940392,8.013701e-05,12.784,12.274,12.274,0
2mer-0+245,0.04637747,2,0.04637747,-37.84302645,8.008824e-05,12.798,12.277,12.277,0
2mer-0+255,-0.11519191,4,-0.23038382,-38.07341027,8.007384e-05,13.008,12.277,12.277,0
2mer-0+222,-0.06100662,2,-0.06100662,-38.13441689,7.957225e-05,13.066,12.303,12.303,0
2mer-0+265,-0.15771133,4,-0.31542265,-38.44983955,7.801422e-05,13.022,12.384,12.384,0
2mer-0+235,0.12477582,2,0.12477582,-38.32506372,7.628626e-05,12.843,12.477,12.477,0
2mer-0+240,0.0659787,2,0.0659787,-38.25908502,7.62586e-05,12.829,12.479,12.479,0
2mer-0+276,-0.1515278,2,-0.1515278,-38.41061282,7.583006e-05,13.314,12.502,12.502,0
2mer-0+258,0.04968677,1,0.02484339,-38.38576943,7.568929e-05,13.315,12.51,12.51,0
2mer-0+263,0.01873107,2,0.01873107,-38.36703836,7.50191e-05,14.021,12.547,12.547,0
2mer-0+305,0.09258544,2,0.09258544,-38.27445293,7.470258e-05,13.745,12.565,12.565,0
2mer-0+320,0.11883711,2,0.11883711,-38.15561582,7.403197e-05,13.746,12.603,12.603,0
2mer-0+336,-0.11286369,1,-0.05643184,-38.21204766,7.308967e-05,13.065,12.657,12.657,0
2mer-0+259,-0.04942882,2,-0.04942882,-38.26147648,7.275654e-05,13.102,12.676,12.676,0
2mer-0+307,0.06743712,2,0.06743712,-38.19403936,7.252593e-05,13.536,12.689,12.689,0
2mer-0+268,0.06606464,2,0.06606464,-38.12797473,7.249863e-05,13.589,12.691,12.691,0
2mer-0+266,0.07502373,4,0.15004747,-37.97792726,7.215673e-05,13.022,12.711,12.711,0
2mer-0+340,0.12961471,2,0.12961471,-37.84831255,7.150032e-05,13.454,12.75,12.75,0
2mer-0+250,0.10495755,4,0.20991509,-37.63839746,7.13745e-05,13.587,12.757,12.757,0
2mer-0+321,0.07992827,2,0.07992827,-37.55846919,7.094574e-05,14.229,12.783,12.783,0
2mer-0+251,-0.05550428,4,-0.11100856,-37.66947775,6.998857e-05,13.545,12.841,12.841,0
2mer-0+314,0.10895593,2,0.10895593,-37.56052182,6.902985e-05,14.468,12.9,12.9,0
2mer-0+313,0.05739465,4,0.1147893,-37.44573252,6.885738e-05,13.966,12.911,12.911,0
2mer-0+312,0.03543509,4,0.07087018,-37.37486234,6.885738e-05,13.966,12.911,12.911,0
2mer-0+288,-0.16821713,2,-0.16821713,-37.54307947,6.804239e-05,13.563,12.962,12.962,0
2mer-0+278,0.09173464,2,0.09173464,-37.45134484,6.70397e-05,13.824,13.026,13.026,0
2mer-0+286,-0.02787172,2,-0.02787172,-37.47921655,6.698537e-05,13.823,13.03,13.03,0
2mer-0+284,-0.04069176,4,-0.08138352,-37.56060007,6.553076e-05,14.293,13.126,13.126,0
2mer-0+277,-0.11368015,4,-0.22736029,-37.78796037,6.499672e-05,14.044,13.161,13.161,0
2mer-0+280,-0.00312478,4,-0.00624956,-37.79420993,6.499672e-05,14.044,13.161,13.161,0
2mer-0+353,-0.02660208,1,-0.01330104,-37.80751097,6.443877e-05,14.239,13.199,13.199,0
2mer-0+325,-0.07967308,2,-0.07967308,-37.88718405,6.443877e-05,14.265,13.199,13.199,0
2mer-0+339,-0.06705819,2,-0.06705819,-37.95424224,6.386829e-05,14.044,13.239,13.239,0
2mer-0+349,-0.06805295,1,-0.03402648,-37.98826872,6.386807e-05,14.044,13.239,13.239,0
2mer-0+354,-0.12037086,2,-0.12037086,-38.10863958,6.310477e-05,14.059,13.292,13.292,0
2mer-0+332,0.00242568,4,0.00485135,-38.10378823,6.14934e-05,14.941,13.407,13.407,0
2mer-0+303,-0.02926382,4,-0.05852763,-38.16231587,6.099128e-05,14.082,13.443,13.443,0
2mer-0+317,-0.05449754,2,-0.05449754,-38.21681341,6.002448e-05,14.305,13.515,13.515,0
2mer-0+292,-0.10372464,4,-0.20744928,-38.42426269,5.983227e-05,14.267,13.53,13.53,0
2mer-0+293,-0.01102385,4,-0.02204769,-38.44631038,5.983227e-05,14.267,13.53,13.53,0
2mer-0+299,0.11920989,2,0.11920989,-38.32710049,5.789445e-05,13.902,13.679,13.679,0
2mer-0+308,0.09135995,2,0.09135995,-38.23574054,5.784701e-05,13.901,13.683,13.683,0
2mer-0+356,0.03292387,2,0.03292387,-38.20281666,5.741511e-05,14.542,13.717,13.717,0
2mer-0+328,0.05499284,4,0.10998568,-38.09283098,5.709767e-05,14.082,13.742,13.742,0
2mer-0+347,0.04220611,4,0.08441223,-38.00841875,5.592618e-05,14.478,13.838,13.838,0
2mer-0+346,-0.07801669,4,-0.15603338,-38.16445213,5.592618e-05,14.478,13.838,13.838,0
2mer-0+348,-0.07420934,2,-0.07420934,-38.23866147,5.572401e-05,14.315,13.854,13.854,0
