N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+100,-0.00310772,2,-0.00310772,-34.85231028,0.0002412137,9.379,8.501,8.501,0.0,-0.00310772,-0.00310772,-0.00932316,-34.25289694011234,-34.85231032,0.0
2mer-0+87,0.1913395,2,0.1913395,-34.66097079,0.0002411134,9.436,8.502,8.502,0.0,0.1913395,0.1913395,0.5740185,-34.061557440112345,-34.66097082,0.0
2mer-0+70,-0.10703128,2,-0.10703128,-34.76800207,0.0002321974,9.113,8.61,8.61,0.0,-0.10703128,-0.10703128,-0.32109384,-34.168588720112346,-34.768002100000004,0.0
2mer-0+113,0.04271404,2,0.04271404,-34.72528803,0.0002321631,9.386,8.61,8.61,0.0,0.04271404,0.04271404,0.12814212,-34.12587468011235,-34.725288060000004,0.0
2mer-0+66,0.09205749,2,0.09205749,-34.63323054,0.0002317151,9.444,8.616,8.616,0.0,0.09205749,0.09205749,0.27617247,-34.033817190112345,-34.63323057,0.0
2mer-0+109,0.15926171,2,0.15926171,-34.47396883,0.0002316673,9.404,8.616,8.616,0.0,0.15926171,0.15926171,0.47778513,-33.87455548011234,-34.47396886,0.0
2mer-0+84,0.16987221,2,0.16987221,-34.30409662,0.0002314782,9.48,8.618,8.618,0.0,0.16987221,0.16987221,0.50961663,-33.70468327011234,-34.30409665,0.0
2mer-0+88,-0.33929702,2,-0.33929702,-34.64339364,0.0002127402,9.443,8.864,8.864,0.0,-0.33929702,-0.33929702,-1.01789106,-34.04398029011234,-34.643393669999995,0.0
2mer-0+86,0.03517109,2,0.03517109,-34.60822254,0.0002121102,9.501,8.873,8.873,0.0,0.03517109,0.03517109,0.10551327,-34.00880920011234,-34.608222579999996,0.0
2mer-0+99,-0.01223716,2,-0.01223716,-34.6204597,0.0002104783,9.493,8.896,8.896,0.0,-0.01223716,-0.01223716,-0.036711480000000005,-34.02104636011234,-34.620459739999994,0.0
2mer-0+97,-0.11585805,2,-0.11585805,-34.73631776,0.0002026216,9.785,9.01,9.01,0.0,-0.11585805,-0.11585805,-0.34757415,-34.13690441011234,-34.736317789999994,0.0
2mer-0+85,0.3833018,2,0.3833018,-34.35301595,0.0002012651,9.11,9.03,9.03,0.0,0.3833018,0.3833018,1.1499054000000002,-33.75360261011234,-34.353015989999996,0.0
2mer-0+104,0.29663491,1,0.14831745,-34.2046985,0.0001984292,9.152,9.073,9.073,0.0,0.148317455,0.148317455,0.8899047299999999,-33.60528515511234,-34.204698535,0.0
2mer-0+95,-0.05196525,4,-0.10393051,-34.30862901,0.0001954677,10.063,9.118,9.118,0.0,-0.1039305,-0.1039305,-0.15589575,-33.70921565511234,-34.308629034999996,0.0
2mer-0+96,0.0984155,4,0.196831,-34.111798,0.0001954677,10.063,9.118,9.118,0.0,0.196831,0.196831,0.2952465,-33.512384655112335,-34.11179803499999,0.0
2mer-0+131,-0.26095421,1,-0.13047711,-34.24227511,0.0001842656,10.12,9.299,9.299,0.0,-0.130477105,-0.130477105,-0.7828626300000001,-33.64286176011233,-34.24227513999999,0.0
2mer-0+137,-0.07500003,2,-0.07500003,-34.31727514,0.0001822456,10.098,9.334,9.334,0.0,-0.07500003,-0.07500003,-0.22500008999999999,-33.71786179011233,-34.31727516999999,0.0
2mer-0+98,-0.05494311,2,-0.05494311,-34.37221825,0.0001818625,10.134,9.34,9.34,0.0,-0.05494311,-0.05494311,-0.16482933,-33.772804900112334,-34.37221827999999,0.0
2mer-0+136,-0.2609116,1,-0.1304558,-34.50267405,0.0001807027,9.784,9.36,9.36,0.0,-0.1304558,-0.1304558,-0.7827348000000001,-33.903260700112334,-34.50267407999999,0.0
2mer-0+107,-0.07162366,2,-0.07162366,-34.57429771,0.0001792999,10.169,9.384,9.384,0.0,-0.07162366,-0.07162366,-0.21487098000000002,-33.974884360112334,-34.57429773999999,0.0
2mer-0+130,0.03767122,2,0.03767122,-34.53662648,0.0001774011,10.726,9.418,9.418,0.0,0.03767122,0.03767122,0.11301365999999999,-33.937213140112334,-34.53662651999999,0.0
2mer-0+124,0.13372109,4,0.26744219,-34.2691843,0.0001716544,11.013,9.522,9.522,0.0,0.26744218,0.26744218,0.40116326999999996,-33.66977096011233,-34.26918433999999,0.0
2mer-0+132,-0.12208658,2,-0.12208658,-34.39127088,0.0001661462,10.467,9.626,9.626,0.0,-0.12208658,-0.12208658,-0.36625974,-33.79185754011233,-34.39127091999999,0.0
2mer-0+119,-0.19504431,1,-0.09752215,-34.48879303,0.0001659168,10.468,9.63,9.63,0.0,-0.097522155,-0.097522155,-0.58513293,-33.88937969511233,-34.48879307499999,0.0
2mer-0+110,0.01049717,4,0.02099435,-34.46779868,0.0001573314,10.153,9.802,9.802,0.0,0.02099434,0.02099434,0.03149151,-33.86838535511233,-34.46779873499999,0.0
2mer-0+126,0.04689481,2,0.04689481,-34.42090388,0.0001533653,11.352,9.886,9.886,0.0,0.04689481,0.04689481,0.14068443,-33.82149054511233,-34.42090392499999,0.0
2mer-0+122,0.13054601,4,0.26109203,-34.15981185,0.0001525534,10.739,9.904,9.904,0.0,0.26109202,0.26109202,0.39163802999999997,-33.56039852511233,-34.15981190499999,0.0
2mer-0+121,-0.07013357,4,-0.14026713,-34.30007898,0.0001525534,10.739,9.904,9.904,0.0,-0.14026714,-0.14026714,-0.21040071000000002,-33.70066566511233,-34.30007904499999,0.0
